D:\Study\Udemy\SelfDrivingCrashCourse\IMG\center_2023_06_26_23_48_22_686.jpg, D:\Study\Udemy\SelfDrivingCrashCourse\IMG\left_2023_06_26_23_48_22_686.jpg, D:\Study\Udemy\SelfDrivingCrashCourse\IMG\right_2023_06_26_23_48_22_686.jpg, 0, 0, 0, 8.006452E-05
D:\Study\Udemy\SelfDrivingCrashCourse\IMG\center_2023_06_26_23_48_22_791.jpg, D:\Study\Udemy\SelfDrivingCrashCourse\IMG\left_2023_06_26_23_48_22_791.jpg, D:\Study\Udemy\SelfDrivingCrashCourse\IMG\right_2023_06_26_23_48_22_791.jpg, 0, 0, 0, 7.849132E-05
D:\Study\Udemy\SelfDrivingCrashCourse\IMG\center_2023_06_26_23_48_22_892.jpg, D:\Study\Udemy\SelfDrivingCrashCourse\IMG\left_2023_06_26_23_48_22_892.jpg, D:\Study\Udemy\SelfDrivingCrashCourse\IMG\right_2023_06_26_23_48_22_892.jpg, 0, 0, 0, 8.040241E-05
D:\Study\Udemy\SelfDrivingCrashCourse\IMG\center_2023_06_26_23_48_22_993.jpg, D:\Study\Udemy\SelfDrivingCrashCourse\IMG\left_2023_06_26_23_48_22_993.jpg, D:\Study\Udemy\SelfDrivingCrashCourse\IMG\right_2023_06_26_23_48_22_993.jpg, 0, 0, 0, 7.862052E-05
D:\Study\Udemy\SelfDrivingCrashCourse\IMG\center_2023_06_26_23_48_23_095.jpg, D:\Study\Udemy\SelfDrivingCrashCourse\IMG\left_2023_06_26_23_48_23_095.jpg, D:\Study\Udemy\SelfDrivingCrashCourse\IMG\right_2023_06_26_23_48_23_095.jpg, 0, 0, 0, 7.851395E-05
D:\Study\Udemy\SelfDrivingCrashCourse\IMG\center_2023_06_26_23_48_23_195.jpg, D:\Study\Udemy\SelfDrivingCrashCourse\IMG\left_2023_06_26_23_48_23_195.jpg, D:\Study\Udemy\SelfDrivingCrashCourse\IMG\right_2023_06_26_23_48_23_195.jpg, 0, 0, 0, 7.964564E-05
D:\Study\Udemy\SelfDrivingCrashCourse\IMG\center_2023_06_26_23_48_23_302.jpg, D:\Study\Udemy\SelfDrivingCrashCourse\IMG\left_2023_06_26_23_48_23_302.jpg, D:\Study\Udemy\SelfDrivingCrashCourse\IMG\right_2023_06_26_23_48_23_302.jpg, 0, 0, 0, 7.807749E-05
D:\Study\Udemy\SelfDrivingCrashCourse\IMG\center_2023_06_26_23_48_23_402.jpg, D:\Study\Udemy\SelfDrivingCrashCourse\IMG\left_2023_06_26_23_48_23_402.jpg, D:\Study\Udemy\SelfDrivingCrashCourse\IMG\right_2023_06_26_23_48_23_402.jpg, 0, 0, 0, 7.770828E-05
D:\Study\Udemy\SelfDrivingCrashCourse\IMG\center_2023_06_26_23_48_23_502.jpg, D:\Study\Udemy\SelfDrivingCrashCourse\IMG\left_2023_06_26_23_48_23_502.jpg, D:\Study\Udemy\SelfDrivingCrashCourse\IMG\right_2023_06_26_23_48_23_502.jpg, 0, 0, 0, 7.825236E-05
D:\Study\Udemy\SelfDrivingCrashCourse\IMG\center_2023_06_26_23_48_23_603.jpg, D:\Study\Udemy\SelfDrivingCrashCourse\IMG\left_2023_06_26_23_48_23_603.jpg, D:\Study\Udemy\SelfDrivingCrashCourse\IMG\right_2023_06_26_23_48_23_603.jpg, 0, 0, 0, 7.813385E-05
D:\Study\Udemy\SelfDrivingCrashCourse\IMG\center_2023_06_26_23_48_23_706.jpg, D:\Study\Udemy\SelfDrivingCrashCourse\IMG\left_2023_06_26_23_48_23_706.jpg, D:\Study\Udemy\SelfDrivingCrashCourse\IMG\right_2023_06_26_23_48_23_706.jpg, 0, 0, 0, 8.080869E-05
D:\Study\Udemy\SelfDrivingCrashCourse\IMG\center_2023_06_26_23_48_24_090.jpg, D:\Study\Udemy\SelfDrivingCrashCourse\IMG\left_2023_06_26_23_48_24_090.jpg, D:\Study\Udemy\SelfDrivingCrashCourse\IMG\right_2023_06_26_23_48_24_090.jpg, 0, 1, 0, 3.892624
D:\Study\Udemy\SelfDrivingCrashCourse\IMG\center_2023_06_26_23_48_24_186.jpg, D:\Study\Udemy\SelfDrivingCrashCourse\IMG\left_2023_06_26_23_48_24_186.jpg, D:\Study\Udemy\SelfDrivingCrashCourse\IMG\right_2023_06_26_23_48_24_186.jpg, 0, 1, 0, 5.059881
D:\Study\Udemy\SelfDrivingCrashCourse\IMG\center_2023_06_26_23_48_24_292.jpg, D:\Study\Udemy\SelfDrivingCrashCourse\IMG\left_2023_06_26_23_48_24_292.jpg, D:\Study\Udemy\SelfDrivingCrashCourse\IMG\right_2023_06_26_23_48_24_292.jpg, 0, 1, 0, 6.215349
D:\Study\Udemy\SelfDrivingCrashCourse\IMG\center_2023_06_26_23_48_24_396.jpg, D:\Study\Udemy\SelfDrivingCrashCourse\IMG\left_2023_06_26_23_48_24_396.jpg, D:\Study\Udemy\SelfDrivingCrashCourse\IMG\right_2023_06_26_23_48_24_396.jpg, 0, 1, 0, 7.35963
D:\Study\Udemy\SelfDrivingCrashCourse\IMG\center_2023_06_26_23_48_24_500.jpg, D:\Study\Udemy\SelfDrivingCrashCourse\IMG\left_2023_06_26_23_48_24_500.jpg, D:\Study\Udemy\SelfDrivingCrashCourse\IMG\right_2023_06_26_23_48_24_500.jpg, -0.0783705, 1, 0, 8.491613
D:\Study\Udemy\SelfDrivingCrashCourse\IMG\center_2023_06_26_23_48_24_602.jpg, D:\Study\Udemy\SelfDrivingCrashCourse\IMG\left_2023_06_26_23_48_24_602.jpg, D:\Study\Udemy\SelfDrivingCrashCourse\IMG\right_2023_06_26_23_48_24_602.jpg, -0.3794943, 1, 0, 9.574935
